ticket	name	industry	price
SJI	South Jersey Industries, Inc.	Oil/Gas Transmission	$18.85
LNDC	Landec Corporation	Major Chemicals	$38.69
HTHT	China Lodging Group, Limited	Hotels/Resorts	$19.19
MSI	Motorola Solutions, Inc.	Radio And Television Broadcasting And Communications Equipment	$42.71
DLX	Deluxe Corporation	Publishing	$38.07
JHA	Nuveen High Income 2020 Target Term Fund	n/a	$17.34
IVR^A	Invesco Mortgage Capital Inc.	n/a	$45.03
SAN	Banco Santander, S.A.	Commercial Banks	$40.50
OGE	OGE Energy Corporation	Electric Utilities: Central	$14.41
WFC^O	Wells Fargo & Company	n/a	$48.33
ENIC	Enel Chile S.A.	Electric Utilities: Central	$43.23
CZFC	Citizens First Corporation	Major Banks	$17.93
ARWR	Arrowhead Pharmaceuticals, Inc.	Major Pharmaceuticals	$23.06
PII	Polaris Industries Inc.	Industrial Specialties	$49.31
FEP	First Trust Europe AlphaDEX Fund	n/a	$45.24
PPSI	Pioneer Power Solutions, Inc.	Electrical Products	$12.36
SMG	Scotts Miracle-Gro Company (The)	Agricultural Chemicals	$31.86
FPO	First Potomac Realty Trust	Real Estate Investment Trusts	$12.17
KF	Korea Fund, Inc. (The)	n/a	$16.88
UG	United-Guardian, Inc.	Package Goods/Cosmetics	$16.50
DRA	Diversified Real Asset Income Fund	n/a	$10.40
COF^F	Capital One Financial Corporation	n/a	$38.24
JPM^B	J P Morgan Chase & Co	n/a	$42.77
EVC	Entravision Communications Corporation	Broadcasting	$43.76
PYZ	PowerShares DWA Basic Materials Momentum Portfolio	n/a	$17.98
GS^C	Goldman Sachs Group, Inc. (The)	n/a	$26.65
SASR	Sandy Spring Bancorp, Inc.	Major Banks	$30.55
LXP^C	Lexington Realty Trust	n/a	$39.14
NCMI	National CineMedia, Inc.	Advertising	$37.18
Y	Alleghany Corporation	Property-Casualty Insurers	$27.14
USAK	USA Truck, Inc.	Trucking Freight/Courier Services	$36.61
ONCS	OncoSec Medical Incorporated	Major Pharmaceuticals	$28.47
ICPT	Intercept Pharmaceuticals, Inc.	Major Pharmaceuticals	$24.70
OKS	ONEOK Partners, L.P.	Natural Gas Distribution	$10.73
ALK	Alaska Air Group, Inc.	Air Freight/Delivery Services	$11.70
APA	Apache Corporation	Oil & Gas Production	$46.66
LXU	Lsb Industries Inc.	Major Chemicals	$30.15
BCS	Barclays PLC	Commercial Banks	$10.19
CPE	Callon Petroleum Company	Oil & Gas Production	$46.17
WMLP	Westmoreland Resource Partners, LP	Coal Mining	$11.20
CPAA	Conyers Park Acquisition Corp.	Business Services	$43.36
ALJJ	ALJ Regional Holdings, Inc.	Business Services	$45.23
BJZ	Blackrock California Municipal 2018 Term Trust	n/a	$16.46
CMO	Capstead Mortgage Corporation	Real Estate Investment Trusts	$41.62
VCSH	Vanguard Short-Term Corporate Bond ETF	n/a	$14.16
SPG	Simon Property Group, Inc.	Real Estate Investment Trusts	$37.95
GAIA	Gaia, Inc.	Movies/Entertainment	$39.17
PIO	PowerShares Global Water Portfolio	n/a	$31.67
BK	Bank Of New York Mellon Corporation (The)	Major Banks	$20.62
CBX	CBX (Listing Market NYSE Networks AE	n/a	$43.80
WLDN	Willdan Group, Inc.	Military/Government/Technical	$35.66
JPM^A	J P Morgan Chase & Co	Major Banks	$14.23
ADNT	Adient plc	Auto Parts:O.E.M.	$11.76
ANGI	Angie's List, Inc.	Advertising	$33.59
LSXMA	Liberty Media Corporation	Broadcasting	$23.16
HES^A	Hess Corporation	n/a	$32.26
DLTH	Duluth Holdings Inc.	Clothing/Shoe/Accessory Stores	$29.16
NTRSP	Northern Trust Corporation	Major Banks	$15.91
AEP	American Electric Power Company, Inc.	Electric Utilities: Central	$12.74
JPM^B	J P Morgan Chase & Co	n/a	$32.85
EGOV	NIC Inc.	Business Services	$48.02
HAE	Haemonetics Corporation	Medical/Dental Instruments	$42.39
ADS	Alliance Data Systems Corporation	Business Services	$13.07
TMUS	T-Mobile US, Inc.	Telecommunications Equipment	$49.08
ATSG	Air Transport Services Group, Inc	Air Freight/Delivery Services	$42.39
TDJ	Telephone and Data Systems, Inc.	Telecommunications Equipment	$19.94
ACIA	Acacia Communications, Inc.	Semiconductors	$34.97
FBIO	Fortress Biotech, Inc.	Major Pharmaceuticals	$35.07
CYAN	Cyanotech Corporation	Specialty Chemicals	$28.71
CZWI	Citizens Community Bancorp, Inc.	Savings Institutions	$34.11
NFEC	NF Energy Saving Corporation	Metal Fabrications	$38.96
ADUS	Addus HomeCare Corporation	Medical/Nursing Services	$23.68
CNAT	Conatus Pharmaceuticals Inc.	Major Pharmaceuticals	$29.15
FFC	Flaherty & Crumrine Preferred Securities Income Fund Inc	n/a	$15.13
RA	Brookfield Real Assets Income Fund Inc.	n/a	$40.98
CNI	Canadian National Railway Company	Railroads	$39.66
SWIR	Sierra Wireless, Inc.	Radio And Television Broadcasting And Communications Equipment	$37.56
AGD	Alpine Global Dynamic Dividend Fund	n/a	$40.25
KGJI	Kingold Jewelry Inc.	Business Services	$24.34
CBMX	CombiMatrix Corporation	Hospital/Nursing Management	$41.39
ARAY	Accuray Incorporated	Medical/Dental Instruments	$15.85
KRNT	Kornit Digital Ltd.	Industrial Machinery/Components	$29.47
ATXI	Avenue Therapeutics, Inc.	n/a	$16.07
LBIO	Lion Biotechnologies, Inc.	Biotechnology: Biological Products (No Diagnostic Substances)	$20.74
NLY^A	Annaly Capital Management Inc	n/a	$22.66
ALR	Alere Inc.	Biotechnology: In Vitro & In Vivo Diagnostic Substances	$17.88
WBC	Wabco Holdings Inc.	Auto Manufacturing	$23.92
MIDD	The Middleby Corporation	Industrial Machinery/Components	$11.33
EXC	Exelon Corporation	Power Generation	$44.41
TRK	Speedway Motorsports, Inc.	Services-Misc. Amusement & Recreation	$46.17
BG	Bunge Limited	Packaged Foods	$48.59
DCUD	Dominion Energy, Inc.	Electric Utilities: Central	$35.24
RNST	Renasant Corporation	Major Banks	$17.58
BAC^W	Bank of America Corporation	Major Banks	$23.47
BBOX	Black Box Corporation	Computer Communications Equipment	$22.19
VKQ	Invesco Municipal Trust	n/a	$15.23
PPIH	Perma-Pipe International Holdings, Inc.	Pollution Control Equipment	$11.86
PPSI	Pioneer Power Solutions, Inc.	Electrical Products	$49.87
OVBC	Ohio Valley Banc Corp.	Major Banks	$23.68
COF	Capital One Financial Corporation	Major Banks	$28.17
CMCM	Cheetah Mobile Inc.	Computer Software: Prepackaged Software	$46.53
SB^B	Safe Bulkers, Inc	n/a	$29.03
NETE	Net Element, Inc.	EDP Services	$25.73
PSA^T	Public Storage	Real Estate Investment Trusts	$44.58
VRSK	Verisk Analytics, Inc.	EDP Services	$30.14
ESS	Essex Property Trust, Inc.	Real Estate Investment Trusts	$36.17
SWKS	Skyworks Solutions, Inc.	Semiconductors	$47.55
BRKS	Brooks Automation, Inc.	Industrial Machinery/Components	$13.49
INTU	Intuit Inc.	Computer Software: Prepackaged Software	$25.09
NLY^E	Annaly Capital Management Inc	n/a	$24.94
ARES^A	Ares Management L.P.	n/a	$40.72
BCTF	Bancorp 34, Inc.	Savings Institutions	$13.90
MATR	Mattersight Corporation	EDP Services	$23.62
DGLT	Digiliti Money Group, Inc.	Telecommunications Equipment	$10.03
HIX	Western Asset High Income Fund II Inc.	n/a	$24.85
MQT	Blackrock MuniYield Quality Fund II, Inc.	n/a	$37.15
NTNX	Nutanix, Inc.	Computer Software: Prepackaged Software	$13.58
HOG	Harley-Davidson, Inc.	Motor Vehicles	$17.02
RFP	Resolute Forest Products Inc.	Paper	$19.22
WPXP	WPX Energy, Inc.	Oil & Gas Production	$22.03
CUBA	The Herzfeld Caribbean Basin Fund, Inc.	n/a	$13.29
NEWTL	Newtek Business Services Corp.	n/a	$31.63
KTOVW	Kitov Pharmaceuticals Holdings Ltd.	Major Pharmaceuticals	$29.01
HTF	Horizon Technology Finance Corporation	n/a	$11.48
ITCI	Intra-Cellular Therapies Inc.	Major Pharmaceuticals	$47.17
BNS	Bank of Nova Scotia (The)	Major Banks	$43.32
NVLS	Nivalis Therapeutics, Inc.	Major Pharmaceuticals	$14.63
RFI	Cohen & Steers Total Return Realty Fund, Inc.	n/a	$16.06
GS^A	Goldman Sachs Group, Inc. (The)	n/a	$43.92
BKU	BankUnited, Inc.	Savings Institutions	$19.04
TCMD	Tactile Systems Technology, Inc.	Medical/Dental Instruments	$38.01
MYD	Blackrock MuniYield Fund, Inc.	n/a	$19.39
DWAQ	PowerShares DWA NASDAQ Momentum Portfolio	n/a	$49.25
IESC	IES Holdings, Inc.	Engineering & Construction	$32.13
WEB	Web.com Group, Inc.	Computer Software: Prepackaged Software	$18.02
ROK	Rockwell Automation, Inc.	Industrial Machinery/Components	$45.75
CTIB	CTI Industries Corporation	Specialty Chemicals	$14.75
FFBC	First Financial Bancorp.	Major Banks	$16.22
MYN	Blackrock MuniYield New York Quality Fund, Inc.	n/a	$25.00
BGC	General Cable Corporation	Telecommunications Equipment	$43.91
CPAA	Conyers Park Acquisition Corp.	Business Services	$24.62
DMB	Dreyfus Municipal Bond Infrastructure Fund, Inc.	n/a	$11.94
